path,bytes,sha256
.gitignore,72,655b18583ad2d45ba12b34ed7139f5f6a8f92116fe0e41224eaafc2102c2cc45
README.md,3207,0f79dc99f7d1861827283936cd0e9ba62b8638fde2d5c70274518d5ee219d3c4
data/README.md,589,84608baf53bcf852cb661874a58b4d33fab397d0df5a30d53db71610695400cb
data/ablations/evaluation/B__B_Delta_001__seed107.csv,555,754cef4d6d09a277e800cd337d0e20f06e376acdc7cab434166408548b048555
data/ablations/evaluation/B__B_Delta_001__seed11.csv,551,1e5e983f48c3114c5946b8c0040469a3d17153ba035c97473bc59aac377ebc02
data/ablations/evaluation/B__B_Delta_001__seed131.csv,555,90f65860bd842d1e56b4612f7657c54be982e36c7d8a4f79a041f76df1ba365e
data/ablations/evaluation/B__B_Delta_001__seed157.csv,553,9e34cba49015962aee960caed4cb01aa658d41aa05f091374297e77daaf33bd3
data/ablations/evaluation/B__B_Delta_001__seed181.csv,553,cf7625ea79569fc4dea90a3604a16ffdbbce1ffe5de4b4db3c64857ba6d8551a
data/ablations/evaluation/B__B_Delta_001__seed23.csv,551,1e99011153ccb8392b266c95ca336fa45793ed4d15a81de8d9741737f4d49e06
data/ablations/evaluation/B__B_Delta_001__seed37.csv,547,81d500e8cd9197208d931281be6f2ffa3b8c9933cea436a7a9b2f0818a2eb6e4
data/ablations/evaluation/B__B_Delta_001__seed53.csv,547,7b1993fb602f8dba6ad7a7e90516f789d27e8354475843b4d49fa45360130803
data/ablations/evaluation/B__B_Delta_001__seed71.csv,551,89daebac50f369d46ef797bb3705315fb5a49d4b98b2a634eaa2ceb0967f2fb7
data/ablations/evaluation/B__B_Delta_001__seed89.csv,553,3e8ca9e5c00b8bf91d0d4000a24fb396c3a227cd59cf7287504dceddad4c9c1c
data/ablations/evaluation/B__B_Delta_010__seed107.csv,549,94c863764419bad457e4c359828061b98d1ed343e621d1bb0cc0023668d1b814
data/ablations/evaluation/B__B_Delta_010__seed11.csv,541,9b21f58d169c44a143014a381b0895d2351c19d616c9ff5a35748be21b2765db
data/ablations/evaluation/B__B_Delta_010__seed131.csv,551,866d737ada911adfbaf12785c6593acd1cd7fd7346d18739137076d0d0d0c7d9
data/ablations/evaluation/B__B_Delta_010__seed157.csv,557,0a33aa5d2bd673b5731119ccfe57e14d33e9ff5c05f297930faa2c081e20dec7
data/ablations/evaluation/B__B_Delta_010__seed181.csv,553,cf7625ea79569fc4dea90a3604a16ffdbbce1ffe5de4b4db3c64857ba6d8551a
data/ablations/evaluation/B__B_Delta_010__seed23.csv,551,1e99011153ccb8392b266c95ca336fa45793ed4d15a81de8d9741737f4d49e06
data/ablations/evaluation/B__B_Delta_010__seed37.csv,547,81d500e8cd9197208d931281be6f2ffa3b8c9933cea436a7a9b2f0818a2eb6e4
data/ablations/evaluation/B__B_Delta_010__seed53.csv,555,0ae153abe7359dbad412810184280032211f3e9f2ad00ef965e6b0a825b33b29
data/ablations/evaluation/B__B_Delta_010__seed71.csv,551,89daebac50f369d46ef797bb3705315fb5a49d4b98b2a634eaa2ceb0967f2fb7
data/ablations/evaluation/B__B_Delta_010__seed89.csv,553,3e8ca9e5c00b8bf91d0d4000a24fb396c3a227cd59cf7287504dceddad4c9c1c
data/ablations/evaluation/B__B_NoRollback__seed107.csv,549,94c863764419bad457e4c359828061b98d1ed343e621d1bb0cc0023668d1b814
data/ablations/evaluation/B__B_NoRollback__seed11.csv,547,37e599514a61a962819124403b52f44984e4b0c44aa2ac308836565e0e3c7646
data/ablations/evaluation/B__B_NoRollback__seed131.csv,551,866d737ada911adfbaf12785c6593acd1cd7fd7346d18739137076d0d0d0c7d9
data/ablations/evaluation/B__B_NoRollback__seed157.csv,557,0a33aa5d2bd673b5731119ccfe57e14d33e9ff5c05f297930faa2c081e20dec7
data/ablations/evaluation/B__B_NoRollback__seed181.csv,553,cf7625ea79569fc4dea90a3604a16ffdbbce1ffe5de4b4db3c64857ba6d8551a
data/ablations/evaluation/B__B_NoRollback__seed23.csv,551,1e99011153ccb8392b266c95ca336fa45793ed4d15a81de8d9741737f4d49e06
data/ablations/evaluation/B__B_NoRollback__seed37.csv,547,81d500e8cd9197208d931281be6f2ffa3b8c9933cea436a7a9b2f0818a2eb6e4
data/ablations/evaluation/B__B_NoRollback__seed53.csv,555,0ae153abe7359dbad412810184280032211f3e9f2ad00ef965e6b0a825b33b29
data/ablations/evaluation/B__B_NoRollback__seed71.csv,551,89daebac50f369d46ef797bb3705315fb5a49d4b98b2a634eaa2ceb0967f2fb7
data/ablations/evaluation/B__B_NoRollback__seed89.csv,553,3e8ca9e5c00b8bf91d0d4000a24fb396c3a227cd59cf7287504dceddad4c9c1c
data/ablations/experiment_B_all_runs.csv,18425,d7d5ae9ec0912862190ed44ac154cac66e5ca10d9d5326de4787bca002ebf63f
data/ablations/experiment_B_summary.csv,479,9ae69b8a4c3ab42ab51a6e37bf8a57645958566886bb13a3d04f1fb3e249c60a
data/ablations/runs/B__B_Delta_001__seed107.json,1599,329813c5b1afed23bf57cd7b80c5ca3c8307d819ba8f0fd8d71579469b4e3cd8
